Sample,X(ms) [08.05.2023 12:46:06 896 UTC],"LSim_PT2aper_DB.input","LSim_PT2aper_DB.output"
19934,1683549966922.525335,1,0.681657314300537
19935,1683549966922.774327,1,0.681657314300537
19936,1683549966923.036657,1,0.681657314300537
19937,1683549966923.281338,1,0.681657314300537
19938,1683549966923.566246,1,0.681657314300537
19939,1683549966923.776849,1,0.697182655334473
19940,1683549966924.022875,1,0.697182655334473
19941,1683549966924.274748,1,0.697182655334473
19942,1683549966924.578824,1,0.697182655334473
19943,1683549966924.788066,1,0.711950898170471
19944,1683549966925.022830,1,0.711950898170471
19945,1683549966925.271669,1,0.711950898170471
19946,1683549966925.544181,1,0.711950898170471
19947,1683549966925.774339,1,0.725998878479004
19948,1683549966926.021553,1,0.725998878479004
19949,1683549966926.271435,1,0.725998878479004
19950,1683549966926.551337,1,0.725998878479004
19951,1683549966926.775662,1,0.739361763000488
19952,1683549966927.021569,1,0.739361763000488
19953,1683549966927.271602,1,0.739361763000488
19954,1683549966927.564616,1,0.739361763000488
19955,1683549966927.774225,1,0.752072930335999
19956,1683549966928.021422,1,0.752072930335999
19957,1683549966928.272426,1,0.752072930335999
19958,1683549966928.529502,1,0.752072930335999
19959,1683549966928.774663,1,0.7641641497612
19960,1683549966929.021560,1,0.7641641497612
19961,1683549966929.272334,1,0.7641641497612
19962,1683549966929.537649,1,0.7641641497612
19963,1683549966929.774656,1,0.775665640830994
19964,1683549966930.021502,1,0.775665640830994
19965,1683549966930.272412,1,0.775665640830994
19966,1683549966930.551594,1,0.775665640830994
19967,1683549966930.774566,1,0.786606192588806
19968,1683549966931.021492,1,0.786606192588806
19969,1683549966931.272436,1,0.786606192588806
19970,1683549966931.566018,1,0.786606192588806
19971,1683549966931.774552,1,0.797013163566589
19972,1683549966932.022052,1,0.797013163566589
19973,1683549966932.271614,1,0.797013163566589
19974,1683549966932.609224,1,0.797013163566589
19975,1683549966932.775890,1,0.806912660598755
19976,1683549966933.023121,1,0.806912660598755
19977,1683549966933.271893,1,0.806912660598755
19978,1683549966933.525642,1,0.806912660598755
19979,1683549966933.776557,1,0.81632936000824
19980,1683549966934.021686,1,0.81632936000824
19981,1683549966934.274877,1,0.81632936000824
19982,1683549966934.522438,1,0.81632936000824
19983,1683549966934.773225,1,0.825286746025085
19984,1683549966935.022899,1,0.825286746025085
19985,1683549966935.275045,1,0.825286746025085
19986,1683549966935.522526,1,0.825286746025085
19987,1683549966935.776110,1,0.833807229995728
19988,1683549966936.022548,1,0.833807229995728
19989,1683549966936.274913,1,0.833807229995728
19990,1683549966936.522388,1,0.833807229995728
19991,1683549966936.779288,1,0.841912150382996
19992,1683549966937.022564,1,0.841912150382996
19993,1683549966937.274905,1,0.841912150382996
19994,1683549966937.522428,1,0.841912150382996
19995,1683549966937.792164,1,0.841912150382996
19996,1683549966938.024693,1,0.849621891975403
19997,1683549966938.291091,1,0.849621891975403
19998,1683549966938.534792,1,0.849621891975403
19999,1683549966938.783481,1,0.849621891975403
20000,1683549966939.023579,1,0.856955587863922
20001,1683549966939.275893,1,0.856955587863922
20002,1683549966939.545082,1,0.856955587863922
20003,1683549966939.815690,1,0.856955587863922
20004,1683549966940.023653,1,0.863931655883789
20005,1683549966940.287325,1,0.863931655883789
20006,1683549966940.527458,1,0.863931655883789
20007,1683549966940.784044,1,0.863931655883789
20008,1683549966941.028693,1,0.870567440986633
20009,1683549966941.277189,1,0.870567440986633
20010,1683549966941.527021,1,0.870567440986633
20011,1683549966941.827956,1,0.870567440986633
20012,1683549966942.023929,1,0.876879632472992
20013,1683549966942.276470,1,0.876879632472992
20014,1683549966942.524151,1,0.876879632472992
20015,1683549966942.782594,1,0.876879632472992
20016,1683549966943.024433,1,0.882883965969086
20017,1683549966943.275976,1,0.882883965969086
20018,1683549966943.522603,1,0.882883965969086
20019,1683549966943.791723,1,0.882883965969086
20020,1683549966944.022458,1,0.888595402240753
20021,1683549966944.275012,1,0.888595402240753
20022,1683549966944.536811,1,0.888595402240753
20023,1683549966944.801066,1,0.888595402240753
20024,1683549966945.024168,1,0.894028306007385
20025,1683549966945.281950,1,0.894028306007385
20026,1683549966945.522462,1,0.894028306007385
20027,1683549966945.820312,1,0.894028306007385
20028,1683549966946.023445,1,0.899196207523346
20029,1683549966946.274912,1,0.899196207523346
20030,1683549966946.522799,1,0.899196207523346
20031,1683549966946.830390,1,0.899196207523346
20032,1683549966947.023372,1,0.904112160205841
20033,1683549966947.273942,1,0.904112160205841
20034,1683549966947.522552,1,0.904112160205841
20035,1683549966947.776890,1,0.904112160205841
20036,1683549966948.023215,1,0.908788442611694
20037,1683549966948.273933,1,0.908788442611694
20038,1683549966948.525106,1,0.908788442611694
20039,1683549966948.772436,1,0.908788442611694
20040,1683549966949.023128,1,0.913236677646637
20041,1683549966949.274034,1,0.913236677646637
20042,1683549966949.525421,1,0.913236677646637
20043,1683549966949.772446,1,0.913236677646637
20044,1683549966950.023071,1,0.917467951774597
20045,1683549966950.274834,1,0.917467951774597
20046,1683549966950.525223,1,0.917467951774597
20047,1683549966950.772389,1,0.917467951774597
20048,1683549966951.028959,1,0.921492755413055
20049,1683549966951.274903,1,0.921492755413055
20050,1683549966951.525277,1,0.921492755413055
20051,1683549966951.772330,1,0.921492755413055
20052,1683549966952.030249,1,0.925321221351624
20053,1683549966952.275133,1,0.925321221351624
20054,1683549966952.524989,1,0.925321221351624
20055,1683549966952.772398,1,0.925321221351624
20056,1683549966953.024674,1,0.9289630651474
20057,1683549966953.274953,1,0.9289630651474
20058,1683549966953.539077,1,0.9289630651474
20059,1683549966953.778943,1,0.9289630651474
20060,1683549966954.046140,1,0.9289630651474
20061,1683549966954.281952,1,0.9289630651474
20062,1683549966954.533391,1,0.9289630651474
20063,1683549966954.776408,1,0.932427287101746
20064,1683549966955.039465,1,0.932427287101746
20065,1683549966955.291547,1,0.932427287101746
20066,1683549966955.541698,1,0.932427287101746
20067,1683549966955.791897,1,0.935722589492798
20068,1683549966956.030976,1,0.935722589492798
20069,1683549966956.286282,1,0.935722589492798
20070,1683549966956.550774,1,0.935722589492798
20071,1683549966956.776407,1,0.938857197761536
20072,1683549966957.024051,1,0.938857197761536
20073,1683549966957.272326,1,0.938857197761536
20074,1683549966957.537959,1,0.938857197761536
20075,1683549966957.774850,1,0.94183886051178
